match_file,tournament,team_a,team_b,date,team_a_prev_matches_played,team_a_prev_matches_won,team_a_prev_win_rate,team_a_prev_sets_won,team_a_prev_sets_lost,team_a_prev_set_win_rate,team_a_prev_avg_points_scored,team_a_prev_avg_points_conceded,team_b_prev_matches_played,team_b_prev_matches_won,team_b_prev_win_rate,team_b_prev_sets_won,team_b_prev_sets_lost,team_b_prev_set_win_rate,team_b_prev_avg_points_scored,team_b_prev_avg_points_conceded,h2h_matches,h2h_team_a_wins,team_a_won
PVL2024A-W27-GTH-CAP-XML.xml,PVLALL24,GTH,CAP,20240316,9,2,0.2222222222222222,9,21,0.3,66.22222222222223,76.33333333333333,3,1,0.3333333333333333,5,8,0.38461538461538464,87.0,98.0,0,0,1
PVLAFC2023-M1-GFDvNXL-XML2.xml,PVLALL23,GFD,NXL,20231015,4,0,0.0,0,12,0.0,50.0,75.0,10,3,0.3,12,21,0.36363636363636365,69.5,75.8,0,0,0
PVL2025D-W32-AKA-CSS-XML.xml,TEST_PVLR25,AKA,CSS,20251106,9,4,0.4444444444444444,14,18,0.4375,76.66666666666667,79.33333333333333,0,0,0.5,0,0,0.5,0.0,0.0,0,0,0
PVL2024A-W35-CMF-AKA-XML.xml,PVLALL24,CMF,AKA,20240323,18,13,0.7222222222222222,46,28,0.6216216216216216,89.83333333333333,85.05555555555556,10,4,0.4,15,21,0.4166666666666667,77.6,81.2,0,0,1
Match001.xml,PVLR24,GTH,NXL,20240716,10,3,0.3,12,23,0.34285714285714286,69.8,78.6,11,4,0.36363636363636365,15,21,0.4166666666666667,70.0,73.54545454545455,0,0,0
PVL2023B-W30-CTCvCMF-XML.xml,PVLINV23,CTC,CMF,20230722,13,6,0.46153846153846156,24,23,0.5106382978723404,80.15384615384616,81.3076923076923,19,14,0.7368421052631579,49,28,0.6363636363636364,89.05263157894737,83.73684210526316,0,0,0
PVL2025A-W95-CCS-PGA-XML.xml,PVLAF25,CCS,PGA,20250408,24,19,0.7916666666666666,64,28,0.6956521739130435,90.70833333333333,79.875,10,7,0.7,25,12,0.6756756756756757,88.5,80.8,0,0,0
PVLAFC2023-M28-PGAvCTC-XML.xml,PVLALL23,PGA,CTC,20231104,11,8,0.7272727272727273,28,14,0.6666666666666666,89.81818181818181,82.27272727272727,14,6,0.42857142857142855,24,26,0.48,78.64285714285714,80.92857142857143,0,0,0
PVL2025B-W42-HSH-CTC-XML.xml,PVLOT25,HSH,CTC,20250817,10,7,0.7,24,15,0.6153846153846154,88.4,83.6,15,7,0.4666666666666667,27,27,0.5,79.73333333333333,81.4,0,0,1
PVL2024B-W33-CAP-NXL-XML.xml,PVLR24,CAP,NXL,20240810,4,1,0.25,7,11,0.3888888888888889,90.0,99.0,12,5,0.4166666666666667,18,23,0.43902439024390244,73.5,75.83333333333333,0,0,1
PVL2024C-W04-CHD-FFF-XML.xml,PVLINV24,CHD,FFF,20240906,18,12,0.6666666666666666,39,28,0.582089552238806,84.83333333333333,75.94444444444444,12,2,0.16666666666666666,12,31,0.27906976744186046,74.58333333333333,82.75,0,0,1
PVL2024B-W27-HSH-CTC-XML.xml,PVLR24,HSH,CTC,20240803,11,8,0.7272727272727273,27,17,0.6136363636363636,90.18181818181819,84.45454545454545,16,7,0.4375,29,30,0.4915254237288136,80.5625,83.0625,0,0,0
